,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
1,,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
2,,0-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
3,,0-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
4,,1-samsung,3-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
5,,1-samsung,3-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
6,,1-samsung,3-samsung,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
7,,4-apple,3-samsung,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
8,,4-apple,3-samsung,2-apple,2-apple,2-apple,3-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
9,,4-apple,3-samsung,2-apple,2-apple,2-apple,3-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
10,,4-apple,3-samsung,2-apple,2-apple,2-apple,3-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
11,,4-apple,3-samsung,1-samsung,2-apple,2-apple,3-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
12,,4-apple,3-samsung,3-samsung,2-apple,2-apple,3-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,,,,
13,,3-samsung,0-apple,3-samsung,2-apple,2-apple,3-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,3-samsung,1-samsung,1-samsung,,,,
14,,3-samsung,0-apple,3-samsung,0-apple,2-apple,3-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,3-samsung,1-samsung,3-samsung,,,,
15,,,0-apple,3-samsung,0-apple,2-apple,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,2-apple,3-samsung,1-samsung,3-samsung,,,,
16,,,0-apple,3-samsung,0-apple,2-apple,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,2-apple,3-samsung,3-samsung,3-samsung,,,,
17,,,0-apple,3-samsung,0-apple,2-apple,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,2-apple,3-samsung,3-samsung,3-samsung,,,,
18,,,0-apple,3-samsung,0-apple,2-apple,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,2-apple,3-samsung,3-samsung,3-samsung,,,,
19,,,0-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,1-samsung,3-samsung,3-samsung,3-samsung,,,,
20,,,0-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,1-samsung,3-samsung,3-samsung,3-samsung,,,,
21,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,1-samsung,3-samsung,3-samsung,3-samsung,,,,
22,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,2-apple,2-apple,1-samsung,2-apple,2-apple,1-samsung,1-samsung,1-samsung,3-samsung,3-samsung,3-samsung,,,,
23,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,3-samsung,3-samsung,3-samsung,,,,
24,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,3-samsung,3-samsung,3-samsung,,,,
25,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,3-samsung,3-samsung,3-samsung,,,,
26,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,3-samsung,3-samsung,3-samsung,,,,
27,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,1-samsung,1-samsung,1-samsung,3-samsung,3-samsung,,,,,
28,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,1-samsung,1-samsung,3-samsung,3-samsung,,,,,
29,,,4-apple,3-samsung,0-apple,1-samsung,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,1-samsung,1-samsung,2-apple,2-apple,,,,,
30,,,4-apple,0-apple,0-apple,1-samsung,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,1-samsung,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,1-samsung,1-samsung,2-apple,2-apple,,,,,
31,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,1-samsung,0-apple,2-apple,2-apple,,,,,
32,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,1-samsung,0-apple,2-apple,2-apple,,,,,
33,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
34,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
35,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
36,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
37,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
38,,,4-apple,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
39,,,,0-apple,0-apple,0-apple,3-samsung,2-apple,1-samsung,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
40,,,,0-apple,0-apple,0-apple,3-samsung,2-apple,3-samsung,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
41,,,,0-apple,0-apple,0-apple,3-samsung,2-apple,3-samsung,0-apple,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,1-samsung,1-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
42,,,,0-apple,0-apple,0-apple,3-samsung,2-apple,3-samsung,0-apple,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,2-apple,2-apple,,,,,
43,,,,0-apple,0-apple,0-apple,3-samsung,2-apple,3-samsung,0-apple,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,,,,,
44,,,,0-apple,0-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,,,,,
45,,,,0-apple,0-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,,,,,
46,,,,0-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,2-apple,,,,,
47,,,,0-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,,,,,
48,,,,0-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,2-apple,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,,,,,
49,,,,4-apple,3-samsung,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,3-samsung,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,,,,,
50,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,3-samsung,2-apple,2-apple,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,,,,,
51,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,,,,,
52,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,,,,,
53,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,2-apple,2-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,,,,,
54,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,2-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,0-apple,0-apple,0-apple,0-apple,0-apple,,,,,
55,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,2-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,0-apple,,,,,
56,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,0-apple,,,,,
57,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,0-apple,,,,,
58,,,,4-apple,3-samsung,0-apple,2-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,0-apple,0-apple,3-samsung,3-samsung,3-samsung,0-apple,3-samsung,3-samsung,0-apple,0-apple,0-apple,0-apple,,,,,
